,name,code,rarity,min_price,avg_price
0,Vampire Domination,GFP2,Ultra Rare,0.46,1.47
1,Vampire Domination,MP19,Common,1.0,2.53
2,Vampire Domination,DASA,Secret Rare,1.23,2.01
0,Performapal Ladyange,DIFO,Super Rare,0.62,1.26
0,Beetrooper Sting Lancer,MP22,Common,0.25,1.13
1,Beetrooper Sting Lancer,DAMA,Ultra Rare,0.99,2.34
0,Flamvell Guard,HAC1,Common,0.25,1.61
1,Flamvell Guard,SDBE,Common,0.35,1.28
2,Flamvell Guard,YS18,Common,0.35,1.9
3,Flamvell Guard,HA01,Super Rare,0.49,1.59
4,Flamvell Guard,HAC1,Duel Terminal Normal Parallel Rare,0.99,1.72
5,Flamvell Guard,DT01,Duel Terminal Normal Parallel Rare,4.71,8.02
0,Cyber Angel Idaten,SGX1,Common,0.54,1.22
1,Cyber Angel Idaten,LED4,Common,0.57,1.89
2,Cyber Angel Idaten,DPDG,Common,0.83,1.31
3,Cyber Angel Idaten,DLCS,Common,0.99,1.75
4,Cyber Angel Idaten,DRL3,Secret Rare,2.64,3.86
5,Cyber Angel Idaten,LART,Ultra Rare,7.7,9.35
0,Icy Breeze Refrain,BLVO,Common,0.2,1.69
1,Icy Breeze Refrain,MP22,Common,0.25,1.12
0,Libromancer Displaced,DIFO,Ultra Rare,0.77,1.61
0,Altergeist Failover,GFP2,Ultra Rare,0.46,1.59
0,Tearlaments Merrli,POTE,Common,0.49,1.52
0,One-Kuri-Way,MP22,Common,0.42,1.14
1,One-Kuri-Way,LIOV,Common,0.43,1.73
0,Defender of the Ice Barrier,HAC1,Common,0.33,1.48
1,Defender of the Ice Barrier,SDFC,Common,0.64,1.72
2,Defender of the Ice Barrier,HAC1,Duel Terminal Normal Parallel Rare,0.99,1.58
3,Defender of the Ice Barrier,HA04,Super Rare,1.34,1.67
4,Defender of the Ice Barrier,DT04,Duel Terminal Rare Parallel Rare,3.55,7.03
0,Masterflare Hyperion,GFP2,Ultra Rare,0.82,2.05
0,Chaos Grepher,GFP2,Ultra Rare,0.47,1.62
0,Glow-Up Bloom,GFP2,Ultra Rare,0.8,1.81
1,Glow-Up Bloom,SR07,Super Rare,1.44,2.69
0,Earthbound Greater Linewalker,LDS3,Common,0.29,1.16
1,Earthbound Greater Linewalker,LED5,Ultra Rare,0.49,1.79
0,Nightmell the Dark Bonder,POTE,Common,0.48,1.68
0,Mokey Mokey Smackdown,SGX1,Common,0.25,1.18
1,Mokey Mokey Smackdown,RDS-,Short Print,0.92,1.21
2,Mokey Mokey Smackdown,DR3-,Common,2.09,5.0
0,Vampire Grace,GFP2,Ultra Rare,0.48,1.66
1,Vampire Grace,SHSP,Common,0.61,1.33
2,Vampire Grace,MP14,Common,1.1,1.73
0,Gem-Knight Quartz,POTE,Super Rare,0.43,1.64
0,Doll Monster Miss Mädchen,BACH,Common,0.33,1.75
0,Crystal Shark,LED9,Super Rare,0.98,1.57
0,Dinomorphia Therizia,BACH,Secret Rare,5.98,10.39
1,Dinomorphia Therizia,BACH,Starlight Rare,5.98,10.39
0,Dragonbite,BACH,Ultra Rare,0.99,1.54
0,Chimeratech Overdragon,RYMP,Rare,0.25,1.54
1,Chimeratech Overdragon,LEDD,Common,0.25,1.55
2,Chimeratech Overdragon,SDCS,Common,0.25,1.8
3,Chimeratech Overdragon,SGX1,Common,0.25,1.17
4,Chimeratech Overdragon,DP04,Rare,0.49,1.68
5,Chimeratech Overdragon,PGLD,Gold Rare,0.98,2.11
6,Chimeratech Overdragon,SP14,Common,1.0,1.59
7,Chimeratech Overdragon,SP14,Starfoil Rare,1.08,1.59
8,Chimeratech Overdragon,GLD1,Gold Rare,2.58,4.66
9,Chimeratech Overdragon,POTD,Ultra Rare,3.24,9.01
10,Chimeratech Overdragon,POTD,Ultimate Rare,3.24,7.03
11,Chimeratech Overdragon,LCGX,Secret Rare,4.27,6.11
12,Chimeratech Overdragon,DT07,Duel Terminal Rare Parallel Rare,4.79,7.78
0,Zektrike Kou-ou,GRCR,Ultra Rare,1.01,1.66
1,Zektrike Kou-ou,GRCR,Collector's Rare,1.19,1.67
0,Naturia Beast,HAC1,Duel Terminal Ultra Parallel Rare,1.0,2.62
1,Naturia Beast,GLD5,Gold Rare,1.99,3.71
2,Naturia Beast,DUPO,Ultra Rare,2.24,3.73
3,Naturia Beast,PGL2,Gold Rare,2.44,3.58
4,Naturia Beast,LC5D,Ultra Rare,2.88,4.0
5,Naturia Beast,HA02,Secret Rare,6.99,13.99
6,Naturia Beast,DT02,Duel Terminal Ultra Parallel Rare,166.61,166.61
0,Fateful Adventure,GRCR,Ultra Rare,2.0,3.75
1,Fateful Adventure,GRCR,Collector's Rare,2.45,3.55
0,There Can Be Only One,SDAZ,Common,1.04,1.85
1,There Can Be Only One,MAGO,Rare,1.15,1.57
2,There Can Be Only One,EXFO,Super Rare,1.44,1.89
3,There Can Be Only One,DUDE,Ultra Rare,1.78,2.55
0,Sprind the Irondash Dragon,SDAZ,Common,0.25,1.13
1,Sprind the Irondash Dragon,BLVO,Common,0.33,1.66
0,Elemental HERO Flame Wingman,SGX1,Common,0.35,1.45
1,Elemental HERO Flame Wingman,SGX1,Secret Rare,1.18,1.31
2,Elemental HERO Flame Wingman,HAC1,Duel Terminal Ultra Parallel Rare,1.19,1.83
3,Elemental HERO Flame Wingman,RYMP,Rare,2.49,6.64
4,Elemental HERO Flame Wingman,DP1-,Super Rare,3.35,4.81
5,Elemental HERO Flame Wingman,TLM-,Ultra Rare,9.0,25.91
6,Elemental HERO Flame Wingman,LCGX,Secret Rare,9.37,18.69
7,Elemental HERO Flame Wingman,TLM-,Ultimate Rare,13.75,24.69
8,Elemental HERO Flame Wingman,DT03,Duel Terminal Normal Parallel Rare,14.65,22.99
9,Elemental HERO Flame Wingman,EHC1,Secret Rare,17.5,35.7
10,Elemental HERO Flame Wingman,DR3-,Ultra Rare,32.97,44.66
11,Elemental HERO Flame Wingman,MF03,Normal Parallel Rare,1200.0,2308.99
0,Solemn Strike,GRCR,Rare,0.67,1.68
1,Solemn Strike,GRCR,Collector's Rare,0.99,1.78
2,Solemn Strike,SR10,Common,1.25,3.16
3,Solemn Strike,DUDE,Ultra Rare,1.58,3.4
4,Solemn Strike,COTD,Super Rare,1.62,3.05
5,Solemn Strike,BLRR,Ultra Rare,1.85,3.64
6,Solemn Strike,MP16,Secret Rare,3.61,6.65
7,Solemn Strike,BOSH,Secret Rare,3.79,11.28
8,Solemn Strike,OP04,Ultimate Rare,200.99,251.17
0,Tri-Blaze Accelerator,SGX1,Common,0.54,1.18
1,Tri-Blaze Accelerator,FOTB,Super Rare,1.53,2.11
2,Tri-Blaze Accelerator,FOTB,Ultimate Rare,1.53,2.05
0,Giltia the D. Knight - Soul Spear,LDS3,Secret Rare,1.23,2.06
0,Kaiser Glider - Golden Burst,LDS3,Secret Rare,1.17,1.88
0,Heroic Challenger - Knuckle Sword,DIFO,Common,0.6,1.77
0,Dewdark of the Ice Barrier,HAC1,Common,0.25,1.61
1,Dewdark of the Ice Barrier,HA03,Super Rare,0.51,2.22
2,Dewdark of the Ice Barrier,HAC1,Duel Terminal Normal Parallel Rare,0.99,1.67
3,Dewdark of the Ice Barrier,DT03,Duel Terminal Normal Parallel Rare,4.0,6.12
0,Fabled Treason,BLVO,Common,0.25,1.72
1,Fabled Treason,MP22,Common,0.25,1.11
0,ZW - Dragonic Halberd,MP22,Rare,0.5,1.14
1,ZW - Dragonic Halberd,LIOV,Super Rare,1.06,1.9
0,Berserker Crush,HAC1,Common,0.42,1.68
1,Berserker Crush,HAC1,Duel Terminal Normal Parallel Rare,0.99,1.76
2,Berserker Crush,HA01,Super Rare,1.07,1.44
3,Berserker Crush,AC19,Super Rare,1.09,2.39
4,Berserker Crush,DT01,Duel Terminal Normal Parallel Rare,1.95,2.19
0,Zoma the Spirit,LDS3,Common,0.29,1.15
1,Zoma the Spirit,TU05,Rare,0.35,1.78
2,Zoma the Spirit,LED5,Common,0.35,1.25
3,Zoma the Spirit,GLD5,Common,0.49,4.28
4,Zoma the Spirit,BP02,Common,0.49,1.49
5,Zoma the Spirit,PTDN,Super Rare,0.79,3.39
6,Zoma the Spirit,BP02,Mosaic Rare,0.88,1.5
7,Zoma the Spirit,SS05,Common,7.98,8.36
8,Zoma the Spirit,STP3,Super Rare,10.98,14.99
0,Fiend Griefing,TAMA,Rare,0.29,1.7
1,Fiend Griefing,CROS,Common,0.69,1.66
2,Fiend Griefing,MP16,Common,1.39,2.58
